Producto,Proveedor,Categoria,Unidades Vendidas,Total,Fecha de Venta,Cliente,Departamento,Municipio,Orden
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,609,1664,6/17/2021,Juan Romero,Guatemala,San Miguel Petapa,1-59880-858-3
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,185,2485,1/29/2021,Adriana Cruz,El Progreso,San Agustin Acasaguastlan,0-09-737976-X
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,176,7696,5/31/2021,Cecilia Jimenez,Quiche,Nebaj,1-72519-340-X
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,140,1201,1/10/2021,Pablo Silva,Alta Verapaz,San Cristabal Verapaz,1-902877-69-1
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,309,3273,2/22/2021,Manuel Ortiz,Santa Rosa,Cuilapa,1-908999-15-2
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,158,1071,1/19/2021,Lucia Castro,Huehuetenango,La Democracia,0-11-042728-9
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,959,3174,9/30/2021,Felipe Fernandez,Peten,Santa Elena,0-569-12219-8
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,214,5866,10/28/2021,Margarita Acosta,Peten,Flores,0-7382-2310-7
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,202,1910,6/12/2021,Patricia Pacheco,Peten,Flores,1-111-07550-6
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,155,6308,6/20/2021,Manuel Mendoza,Totonicapan,Momostenango,1-05-864716-4
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,173,3710,9/24/2021,Veronica Cabrera,Escuintla,Santa Lucia Cotzumalguapa,0-07-253724-8
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,878,1464,9/19/2021,Beatriz Cabrera,Huehuetenango,San Pedro Necta,1-78292-596-1
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,874,7323,11/16/2021,Susana Medina,Jalapa,San Luis Jilotepeque,0-408-82776-9
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,798,4488,11/19/2021,Josefa Gomez,Chimaltenango,Tecpan Guatemala,0-927957-69-8
