Producto,Proveedor,Categoria,Unidades Vendidas,Total,Fecha de Venta,Cliente,Departamento,Municipio,Orden
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,798,3125,9/11/2022,Luisa Ramirez,Quiche,Santo Tomas Chichicastenango,0-8261-7374-8
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,842,4476,7/17/2022,Adrian Ibarra,Santa Rosa,Santa Maria Ixhuatan,1-70804-677-1
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,702,7282,4/27/2022,Olga Cruz,Totonicapan,San Cristobal Totonicapan,1-01-641819-1
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,483,2050,9/13/2022,Margarita Martinez,El Progreso,Guastatoya,0-7538-3930-X
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,208,5533,3/14/2022,Pedro Cruz,San Marcos,Tejutla,0-10-271149-6
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,532,7295,6/15/2022,Miguel Ramirez,Alta Verapaz,Tucuru,1-82207-505-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,238,7819,2/15/2022,Eduardo Ibarra,Chimaltenango,San Martin Jilotepeque,0-89101-523-X
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,628,7936,3/15/2022,Hugo Paredes,Chiquimula,Camotan,1-81765-207-9
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,614,2508,11/10/2022,Sandra Alvarez,El Progreso,Guastatoya,0-7858-1432-9
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,875,1114,7/6/2022,Diana Medina,Suchitepequez,San Antonio Suchitepequez,1-343-56024-1
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,295,6358,6/19/2022,Pedro Castillo,Peten,Poptun,0-275-67599-8
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,554,6935,8/4/2022,Yolanda Perez,Alta Verapaz,Santa Cruz Verapaz,1-04-920782-3
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,917,5049,4/13/2022,Ignacio Cortes,El Progreso,San Antonio La Paz,1-07-800642-3
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,782,4191,12/15/2022,Ismael Soto,Retalhuleu,Nuevo San Carlos,0-9798269-5-0
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,717,7934,9/12/2022,Ruth Soto,Quetzaltenango,Salcaja,0-933565-22-4
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,942,6396,11/11/2022,Mirta Pacheco,Zacapa,Rio Hondo,1-71385-575-5
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,711,4838,4/28/2022,Rosa Ramirez,Quetzaltenango,Salcaja,0-7988-2374-7
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,150,4966,11/26/2022,Samuel Pacheco,Quiche,Uspantan,0-413-85503-1
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,181,2922,12/28/2022,Natalia Campos,Quiche,Santo Tomas Chichicastenango,0-254-58152-8
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,492,3784,1/14/2022,Gabriel Velasquez,Zacapa,La Union,0-413-83161-2
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,240,4208,8/15/2022,Hugo Molina,Quiche,Santo Tomas Chichicastenango,1-167-31282-1
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,408,4096,3/3/2022,Gabriel Espinoza,Santa Rosa,Cuilapa,0-260-12932-1
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,281,4755,4/3/2022,Carmen Pacheco,Totonicapan,Momostenango,0-7981-7281-9
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,238,6993,8/7/2022,Ines Flores,Solola,San Pedro La Laguna,0-392-75511-4
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,972,2436,10/16/2022,Pedro Soto,Quetzaltenango,San Carlos Sija,0-645-62475-6
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,573,5858,8/8/2022,angela Mendoza,Baja Verapaz,San Jeronimo,1-58534-740-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,932,5577,2/17/2022,Rafael Martinez,Jalapa,Mataquescuintla,1-4884-2918-9
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,469,7820,3/27/2022,Ines Ibarra,Jalapa,Jalapa,1-04-193982-5
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,639,5140,9/23/2022,Alonso Ortiz,Sacatepequez,Ciudad Vieja,1-57337-433-4
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,609,3605,1/1/2022,Mario Molina,Izabal,Los Amates,1-79651-210-9
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,630,7148,9/11/2022,Andrea Martinez,Jalapa,San Pedro Pinula,0-647-65314-1
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,469,1015,12/23/2022,Arturo Alvarez,Jutiapa,Jutiapa,1-921968-18-4
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,666,2721,3/12/2022,Sergio Castillo,Quiche,Nebaj,1-168-50170-9
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,395,4673,7/14/2022,Pablo Ibarra,Baja Verapaz,Cubulco,1-117-04023-2
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,767,7145,6/29/2022,Marcelo Sanchez,Guatemala,Guatemala City,1-82140-898-5
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,399,1630,1/1/2022,Sebastian Soto,Jalapa,San Pedro Pinula,0-88888-984-4
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,153,6872,11/4/2022,Esteban Torres,Quetzaltenango,Cantel,1-298-30225-0
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,550,7180,11/1/2022,Valeria Ortiz,Jutiapa,Santa Catarina Mita,0-535-58484-9
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,347,7327,3/19/2022,Carmen Hernandez,Quetzaltenango,Quetzaltenango,0-669-56221-1
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,806,4733,3/7/2022,Carlos Acosta,Santa Rosa,Oratorio,1-06-735527-8
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,865,2258,7/5/2022,Aurora Medina,Zacapa,Gualan,0-7195-9170-8
