Producto,Proveedor,Categoria,Unidades Vendidas,Total,Fecha de Venta,Cliente,Departamento,Municipio,Orden
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,974,2283,2/6/2023,Gustavo Ramos,Solola,Solola,0-07-910391-X
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,927,1302,1/18/2023,Sebastian Cabrera,Quetzaltenango,Salcaja,1-79646-855-X
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,316,5827,3/19/2023,Gustavo Espinoza,Sacatepequez,Jocotenango,0-227-30279-6
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,694,1576,11/20/2023,Alfredo Garcia,Alta Verapaz,Coban,0-06-102675-1
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,590,796,9/7/2023,Mirta Romero,Totonicapan,San Bartolo,0-04-848862-3
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,490,6316,7/23/2023,Gustavo Jimenez,Escuintla,La Gomera,0-684-99635-9
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,650,6300,11/7/2023,Pablo Sanchez,Baja Verapaz,San Jeronimo,1-951186-06-0
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,803,1313,10/3/2023,Raquel Martinez,Chiquimula,Chiquimula,1-77269-486-X
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,900,1869,2/23/2023,Esperanza Romero,Santa Rosa,San Juan Tecuaco,0-16-125950-2
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,499,3472,11/13/2023,Raul Perez,Huehuetenango,La Democracia,0-630-89962-2
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,804,4632,9/9/2023,Martin Lopez,Chiquimula,San Jose La Arada,0-10-217238-2
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,220,5184,10/21/2023,Rosa Guzman,Jalapa,Jalapa,1-68225-627-8
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,132,5926,8/6/2023,Cristian Vega,Suchitepequez,San Antonio Suchitepequez,1-9778-9943-9
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,811,6832,10/31/2023,Jorge Ibarra,Huehuetenango,Colotenango,1-5353-6050-X
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,302,4712,9/11/2023,Cecilia Alvarez,Chimaltenango,Tecpan Guatemala,1-5325-3324-1
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,652,4165,7/16/2023,Sandra Lopez,Retalhuleu,Nuevo San Carlos,1-198-37386-5
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,280,7440,6/4/2023,Fernando Alvarez,Escuintla,Santa Lucia Cotzumalguapa,0-650-24981-X
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,310,7843,11/4/2023,Julia Pacheco,Retalhuleu,Champerico,1-994670-20-7
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,389,3140,8/5/2023,Ines Cortes,Quetzaltenango,San Carlos Sija,1-360-34349-0
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,129,3038,8/9/2023,Luis Cruz,Alta Verapaz,Tactic,1-174-54137-7
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,798,6973,3/2/2023,Ramon Ponce,Alta Verapaz,Tactic,0-08-583133-6
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,503,6251,11/4/2023,Josefa Garcia,Guatemala,Mixco,0-18-495027-9
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,989,6094,6/25/2023,Olga Vazquez,El Progreso,Guastatoya,0-366-74670-7
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,401,6761,8/30/2023,Estela Perez,Suchitepequez,Mazatenango,0-361-92108-X
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,237,5465,8/31/2023,Raul Sanchez,Jutiapa,Jutiapa,0-539-65335-7
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,583,7966,10/23/2023,Ana Ramirez,Zacapa,Zacapa,1-84154-262-8
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,321,7234,8/24/2023,Lorena Flores,Santa Rosa,Santa Maria Ixhuatan,0-485-63234-9
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,625,4805,4/26/2023,Hugo Leon,Guatemala,San Miguel Petapa,1-878414-84-4
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,694,7765,8/5/2023,Sofia Ponce,Retalhuleu,Retalhuleu,1-208-08858-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,756,7600,6/10/2023,Estela Ortiz,Guatemala,Mixco,1-01-718840-8
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,161,7895,3/19/2023,Valeria Ponce,Suchitepequez,San Antonio Suchitepequez,1-347-42516-0
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,225,4233,4/17/2023,Miguel Alvarez,Peten,Sayaxche,1-08-110632-8
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,938,5370,12/27/2023,Roberto Ramirez,Izabal,El Estor,1-4891-0037-7
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,194,594,2/15/2023,Cecilia Diaz,Santa Rosa,Santa Maria Ixhuatan,1-83047-428-6
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,982,5846,5/24/2023,Enrique Molina,Guatemala,Santa Catarina Pinula,0-87411-852-2
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,712,953,5/12/2023,Ismael Ibarra,Alta Verapaz,San Cristabal Verapaz,0-85294-308-3
