Producto,Proveedor,Categoria,Unidades Vendidas,Total,Fecha de Venta,Cliente,Departamento,Municipio,Orden
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,898,1890,3/22/2024,Carmen Hernandez,Jutiapa,Agua Blanca,0-443-66621-0
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,680,4635,5/15/2024,Javier Silva,Izabal,Morales,1-60518-268-0
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,848,6749,8/15/2024,Laura Rodriguez,Baja Verapaz,Rabinal,1-208-61004-X
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,929,4636,5/10/2024,Ruth Ponce,Quetzaltenango,Salcaja,1-331-68835-3
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,398,3045,8/10/2024,Manuel Jimenez,Totonicapan,Momostenango,1-65581-462-1
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,857,4994,2/1/2024,Carmen Gomez,Sacatepequez,Sumpango,0-260-70189-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,374,4916,2/14/2024,Yolanda Sanchez,Peten,Sayaxche,0-16-851175-4
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,539,4704,5/24/2024,Mario Rivera,Izabal,Puerto Barrios,1-61678-807-0
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,396,3499,9/12/2024,Pablo Morales,Izabal,El Estor,0-543-09746-3
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,541,3070,3/30/2024,Laura Vargas,Santa Rosa,Barberena,0-7005-4885-8
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,361,6619,3/14/2024,Sergio Molina,Solola,San Juan La Laguna,0-7631-2999-2
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,740,3148,6/6/2024,Juana Cabrera,Retalhuleu,Retalhuleu,0-483-11858-3
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,762,1047,3/13/2024,Diego Navarro,Totonicapan,San Cristobal Totonicapan,0-688-16567-2
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,755,3581,2/9/2024,Ramon Vargas,Zacapa,Zacapa,0-9613509-6-2
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,502,6242,9/2/2024,Cecilia Ramos,Quetzaltenango,Olintepeque,1-84229-517-9
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,892,2145,8/20/2024,Rafael Cortes,Alta Verapaz,Tucuru,1-75628-025-8
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,161,4501,2/18/2024,Miguel Ponce,Alta Verapaz,Tucuru,0-303-72208-8
